Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success
0.0,MEM,0.46,1.69,NBA,2020-12-26,0.0
1.0,DET,0.33,1.77,NBA,2020-12-26,0.0
2.0,OKC,0.22,2.22,NBA,2020-12-26,1.0
3.0,ORL,0.28,2.16,NBA,2020-12-26,1.0
4.0,NY,0.09,4.1,NBA,2020-12-26,0.0
5.0,CHI,0.21,2.76,NBA,2020-12-26,0.0
6.0,TOR,0.33,1.77,NBA,2020-12-26,0.0
7.0,MIN,0.07,4.1,NBA,2020-12-26,1.0
8.0,POR,0.35,2.4,NBA,2020-12-26,1.0
9.0,PHX,0.42,3.8,NBA,2020-12-26,0.0
0.0,Draw Leeds United v Burnley,0.08,4.4,EPL,2020-12-27,0.0
1.0,Draw Liverpool v West Brom,0.04,18.0,EPL,2020-12-27,1.0
0.0,BKN,0.59,2.72,NBA,2020-12-27,0.0
1.0,NO,0.72,5.4,NBA,2020-12-27,1.0
2.0,MIL,0.63,1.31,NBA,2020-12-27,0.0
3.0,CLE,0.18,8.5,NBA,2020-12-27,1.0
5.0,SAC,0.23,2.3,NBA,2020-12-27,0.0
10.0,Packers          ,0.42,1.86,NFL,2020-12-27,1.0
1.0,Bears          ,0.61,1.64,NFL,2020-12-27,1.0
2.0,Texans          ,0.67,3.6,NFL,2020-12-27,0.0
6.0,Panthers          ,0.23,3.6,NFL,2020-12-27,1.0
7.0,Chargers          ,0.38,4.3,NFL,2020-12-27,1.0
9.0,amur khabarovsk,0.39,3.85,KHL,2020-12-28,0.0
10.0,hc traktor chelyabinsk,0.35,2.52,KHL,2020-12-28,0.0
2.0,Draw Newcastle v Liverpool,0.06,6.0,EPL,2020-12-30,1.0
11.0,hc dynamo moscow,0.46,1.56,KHL,2020-12-30,1.0
2.0,West Brom,0.03,5.9,EPL,2021-01-02,0.0
2.0,Draw Arminia v Gladbach,0.07,4.2,GPL,2021-01-02,0.0
1.0,Draw Newcastle v Leicester,0.08,4.0,EPL,2021-01-03,0.0
