,Unnamed: 0,Unnamed: 0.1,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,121,0.0,Nuggets,0.7,1.45,NBA,2021-03-21,,9.63617,0.031689999999999996
6,127,1.0,Brest,0.22,2.6,FL1,2021-03-21,,3.02851,0.00996
8,129,3.0,Lyon,0.15,3.0,FL1,2021-03-21,,2.06489,0.006790000000000001
16,137,1.0,Nordsjælland,0.3,2.2,DSL,2021-03-21,,4.12979,0.013580000000000002
18,139,0.0,W. Phoenix,0.27,2.5,AAL,2021-03-21,,3.7168099999999997,0.01222
