Day,Portfolio,Change
1,100.0,1.0
2,101.75272084805654,1.0481572815533982
3,127.83010433109541,1.4637553320427573
4,109.21371600562557,0.7698944717592038
5,124.71,1.2183836135765577
6,146.2287249675174,1.4024519725093352
7,153.35125757731282,1.0935960784313725
8,208.40529249000554,1.7756096186361072
9,180.7984911400339,0.6893011093502377
10,268.93710887908935,1.9361230782720527
11,346.6310858176553,1.4944116141300374
12,313.8178083040306,0.7875600448002658
13,371.21344703660975,1.402073014611751
14,286.72462804043136,0.5520387833067362
15,323.3442518942993,1.25754669640368
16,450.5759674170997,1.8886530058414972
17,503.25436908044685,1.38644934535308
18,497.0483237234458,0.9709667117061788
19,494.7104098269257,0.9853042679191342
20,387.7878467179352,0.4028621565113501
21,409.12605110136695,1.1049862286544145
22,383.300029173448,0.8580183986971258
23,401.6628078944823,1.140007604975827
24,322.2637838146169,0.5572777087514735
25,328.0283608222336,1.0358320172886708
26,353.56526104429236,1.2272874209416726
27,344.4881306882008,0.9401991122384273
28,381.64453811646985,1.311074342180857
29,396.07685721433876,1.1068996103788444
30,419.45636641957014,1.1924293670198318
31,448.1998872968017,1.1849750893686493
32,408.8128301513621,0.8174662400347091
33,436.7552666277778,1.1583521139457316
34,350.7273248452417,0.4974234540724435
35,410.5340789597791,1.4128031067177729
36,423.97777362230465,1.0896527377521614
37,443.19543312375924,1.1222533015676932
38,495.2658228980479,1.2984187120499442
39,339.2670337820082,0.1190609906772998
40,282.4418789220616,0.5066453935526101
41,262.42231130333107,0.6929586887439371
42,233.71585969205648,0.768521160822249
43,263.82911635527773,1.3798701594533032
44,242.64267169665192,0.8209299307958476
45,233.7342855569916,0.9146817643576081
46,252.6839982657246,1.1947670936086154
47,282.46439619306585,1.2759287817187719
48,274.44169224144554,0.781518987341772
49,291.79160328714477,1.1422568256825683
50,331.4244528662116,1.3195114328014477
51,364.02614395486614,1.2463997404282932
52,340.0162456774951,0.6782608695652175
53,273.7130777703836,0.0
54,268.28765135403137,0.929208633093525
