Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success
0.0,AC Milan,0.28,2.15,ISA,2021-03-21,1.0
1.0,Roma,0.21,2.55,ISA,2021-03-21,0.0
0.0,Cádiz,0.03,8.5,LLA,2021-03-21,0.0
2.0,Trail Blazers,0.3,2.02,NBA,2021-03-21,0.0
0.0,Marítimo,0.22,2.75,PPL,2021-03-21,0.0
0.0,Denizlispor,0.12,3.6,TSL,2021-03-21,0.0
0.0,Timberwolves,0.53,1.77,NBA,2021-03-22,0.0
1.0,Grizzlies,0.39,1.89,NBA,2021-03-22,1.0
0.0,iowa,0.58,1.45,NCAA,2021-03-22,0.0
1.0,kansas,0.37,2.0,NCAA,2021-03-22,0.0
3.0,ucla,0.59,1.5,NCAA,2021-03-22,1.0
3.0,Warriors,0.35,2.26,NBA,2021-03-23,0.0
1.0,Bucks,0.44,1.65,NBA,2021-03-24,1.0
8.0,Jazz,0.71,1.4,NBA,2021-03-24,1.0
0.0,Pistons,0.15,3.0,NBA,2021-03-26,0.0
0.0,Ponferradina,0.12,4.4,LLT,2021-03-27,0.0
1.0,Spurs,0.47,1.68,NBA,2021-03-27,1.0
0.0,creighton,0.1,8.0,NCAA,2021-03-28,0.0
1.0,Thunder,0.1,4.85,NBA,2021-03-29,0.0
0.0,Nuggets,0.62,1.51,NBA,2021-03-30,1.0
0.0,Gillingham,0.31,2.0,ELO,2021-03-31,1.0
0.0,Cardiff City,0.3,2.2,ECL,2021-04-02,0.0
0.0,Almería,0.31,2.3,LLT,2021-04-02,0.0
0.0,Chelsea,0.77,1.24,EPL,2021-04-03,0.0
0.0,Rizespor,0.22,2.85,TSL,2021-04-03,0.0
1.0,Elche,0.11,4.8,LLA,2021-04-04,0.0
2.0,Mallorca,0.23,2.5,LLT,2021-04-04,0.0
4.0,Rockets,0.31,2.8,NBA,2021-04-04,0.0
1.0,Ankaragücü,0.24,2.35,TSL,2021-04-04,1.0
0.0,Wigan,0.11,4.3,ELO,2021-04-05,0.0
2.0,Doncaster,0.25,2.6,ELO,2021-04-05,0.0
3.0,Rochdale,0.1,3.7,ELO,2021-04-05,0.0
2.0,Phillies,0.18,2.94,MLB,2021-04-05,0.0
2.0,Raptors,0.63,1.48,NBA,2021-04-05,1.0
0.0,Mariners,0.24,2.34,MLB,2021-04-07,1.0
2.0,Rays,0.29,2.06,MLB,2021-04-07,0.0
2.0,Pelicans,0.07,5.2,NBA,2021-04-07,0.0
1.0,Beşiktaş,0.48,1.74,TSL,2021-04-07,1.0
0.0,Bayern Munich,0.36,1.95,UCL,2021-04-07,0.0
2.0,Ajax,0.31,2.0,EUL,2021-04-08,0.0
1.0,Hawks,0.62,1.77,NBA,2021-04-09,1.0
0.0,Sunderland,0.52,1.87,ELO,2021-04-10,0.0
0.0,Liverpool,0.53,1.5,EPL,2021-04-10,1.0
3.0,Bayern Munich,0.65,1.48,GPL,2021-04-10,0.0
1.0,Rangers,0.23,2.52,MLB,2021-04-11,0.0
6.0,Knicks,0.37,1.89,NBA,2021-04-11,1.0
7.0,Clippers,0.83,1.18,NBA,2021-04-11,1.0
0.0,Lakers,0.41,2.22,NBA,2021-04-12,0.0
3.0,Magic,0.27,3.1,NBA,2021-04-12,0.0
1.0,montreal canadiens,0.3,2.32,NHL,2021-04-12,1.0
4.0,los angeles kings,0.21,2.54,NHL,2021-04-12,0.0
1.0,Hornets,0.37,1.89,NBA,2021-04-13,0.0
8.0,Kings,0.45,2.02,NBA,2021-04-14,0.0
0.0,Man. United,0.57,1.51,EUL,2021-04-15,1.0
2.0,Astros,0.37,1.85,MLB,2021-04-16,0.0
0.0,76ers,0.46,1.72,NBA,2021-04-16,1.0
6.0,Mavericks,0.62,1.49,NBA,2021-04-16,0.0
1.0,Lincoln City,0.26,2.2,ELO,2021-04-17,1.0
0.0,West Ham,0.28,2.15,EPL,2021-04-17,0.0
1.0,Sheffield Utd,0.1,6.0,EPL,2021-04-17,0.0
0.0,Sassuolo,0.23,2.5,ISA,2021-04-17,1.0
0.0,Castellón,0.1,4.4,LLT,2021-04-17,1.0
1.0,Bulls,0.41,1.79,NBA,2021-04-17,1.0
2.0,Suns,0.75,1.26,NBA,2021-04-17,0.0
0.0,Real Sociedad,0.23,2.85,LLA,2021-04-18,0.0
1.0,Draw Atlético Madrid v Eibar,0.08,4.2,LLA,2021-04-18,0.0
0.0,Athletics,0.43,1.7,MLB,2021-04-18,1.0
1.0,Cubs,0.34,1.89,MLB,2021-04-18,0.0
0.0,Heat,0.36,2.98,NBA,2021-04-18,1.0
0.0,GFK,0.31,2.3,TSL,2021-04-18,0.0
0.0,Espanyol,0.24,2.3,LLT,2021-04-19,0.0
1.0,Celtics,0.67,1.4,NBA,2021-04-19,0.0
2.0,Pacers,0.38,1.98,NBA,2021-04-19,0.0
0,Hornets,0.2,3.0,NBA,2021-04-20
0,Cubs,0.27,2.2,MLB,2021-04-20
1,Indians,0.32,1.96,MLB,2021-04-20
2,Marlins,0.36,1.89,MLB,2021-04-20
3,Rangers,0.17,2.9,MLB,2021-04-20
0,Doncaster,0.21,2.9,ELO,2021-04-20
1,Oxford United,0.28,2.25,ELO,2021-04-20
2,Hull City,0.34,2.15,ELO,2021-04-20
3,Plymouth Argyle,0.11,3.9,ELO,2021-04-20
0,1. FC Köln,0.12,8.0,GPL,2021-04-20
1,Draw 1. FC Köln v RB Leipzig,0.09,4.7,GPL,2021-04-20
0,Karagümrükspor,0.19,2.55,TSL,2021-04-20
0,QPR,0.11,4.0,ECL,2021-04-20
0,buffalo sabres,0.14,3.65,NHL,2021-04-20
1,new jersey devils,0.13,3.25,NHL,2021-04-20
2,vancouver canucks,0.15,3.7,NHL,2021-04-20
