,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
106,0.0,Lakers,0.49,1.57,NBA,2021-03-20,,3.42732,0.01235
107,1.0,Warriors,0.24,2.94,NBA,2021-03-20,,1.67869,0.00605
108,0.0,Ipswich Town,0.13,3.8,ELO,2021-03-20,,0.90929,0.00328
109,1.0,Sunderland,0.43,1.71,ELO,2021-03-20,,3.00765,0.01083
110,2.0,Northampton,0.19,2.9,ELO,2021-03-20,,1.32896,0.00479
111,3.0,Hull City,0.4,1.83,ELO,2021-03-20,,2.79781,0.01008
112,4.0,Wigan,0.13,3.3,ELO,2021-03-20,,0.90929,0.00328
113,5.0,Peterborough,0.4,1.74,ELO,2021-03-20,,2.79781,0.01008
114,6.0,Wimbledon,0.11,3.9,ELO,2021-03-20,,0.7694,0.00277
115,0.0,Newcastle,0.07,6.0,EPL,2021-03-20,,0.48962,0.00176
116,0.0,1. FC Köln,0.05,7.0,GPL,2021-03-20,,0.34973,0.00126
117,1.0,Eintracht,0.4,1.83,GPL,2021-03-20,,2.79781,0.01008
118,2.0,Schalke 04,0.07,7.0,GPL,2021-03-20,,0.48962,0.00176
119,3.0,Draw Schalke 04 v Gladbach,0.07,4.7,GPL,2021-03-20,,0.48962,0.00176
120,0.0,Metz,0.16,3.5,FL1,2021-03-20,,1.11912,0.00403
121,0.0,GFK,0.14,3.1,TSL,2021-03-20,,0.97923,0.00353
122,0.0,Crotone,0.12,3.8,ISA,2021-03-20,,0.83934,0.00302
123,1.0,Spezia,0.2,2.65,ISA,2021-03-20,,1.39891,0.00504
124,0.0,Eibar,0.12,4.9,LLA,2021-03-20,,0.83934,0.00302
125,1.0,Huesca,0.21,2.55,LLA,2021-03-20,,1.46885,0.00529
126,2.0,Valladolid,0.07,4.8,LLA,2021-03-20,,0.48962,0.00176
127,0.0,Fortuna Sittard,0.19,4.3,NPL,2021-03-20,,1.32896,0.00479
128,1.0,RKC,0.16,3.0,NPL,2021-03-20,,1.11912,0.00403
129,0.0,Tondela,0.08,5.2,PPL,2021-03-20,,0.55956,0.00202
130,1.0,Portimonense,0.07,7.5,PPL,2021-03-20,,0.48962,0.00176
131,0.0,Wycombe,0.09,5.4,ECL,2021-03-20,,0.62951,0.00227
132,1.0,Rotherham,0.28,2.95,ECL,2021-03-20,,1.95847,0.00706
133,2.0,Draw Norwich v Blackburn,0.08,4.3,ECL,2021-03-20,,0.55956,0.00202
134,0.0,virginia,0.76,1.3,NCAA,2021-03-20,,5.31584,0.01915
135,1.0,maryland,0.23,2.38,NCAA,2021-03-20,,1.60874,0.0058
136,2.0,ucla,0.21,2.6,NCAA,2021-03-20,,1.46885,0.00529
