,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,0,virginia,0.76,1.3,NCAA,2021-03-20,0.0,14.567,0.146
1,1,maryland,0.23,2.38,NCAA,2021-03-20,1.0,4.408,0.044
2,2,ucla,0.21,2.6,NCAA,2021-03-20,1.0,4.025,0.04
