,Bet State Chosen,Kelly Criterion Suggestion,Allocation Percentage,League,Payouts (per Dollar),Date,American Odds,Update Time (EST)
0,Gustavo Lopez,0.43,6.09,MMA,2.98,2021-03-20,+198,12:06:54
1,Song Kenan,0.31,4.391,MMA,2.76,2021-03-20,+175,12:06:54
2,Harry Hunsucker,0.41,5.807,MMA,4.85,2021-03-20,+384,12:06:54
3,Marion Reneau,0.19,2.691,MMA,2.9,2021-03-20,+190,12:06:54
4,Leonardo Santos,0.19,2.691,MMA,2.72,2021-03-20,+172,12:06:54
5,Trevin Giles,0.33,4.674,MMA,2.0,2021-03-20,-100,12:06:54
6,Jesse Strader,0.47,6.657,MMA,6.2,2021-03-20,+520,12:06:54
