,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,0,Gustavo Lopez,0.43,2.98,MMA,2021-03-20,,13.17597,0.0609
1,1,Song Kenan,0.31,2.76,MMA,2021-03-20,,9.49895,0.04391
2,2,Harry Hunsucker,0.41,4.85,MMA,2021-03-20,,12.56313,0.05807
3,3,Marion Reneau,0.19,2.9,MMA,2021-03-20,,5.82194,0.02691
4,4,Leonardo Santos,0.19,2.72,MMA,2021-03-20,,5.82194,0.02691
5,5,Trevin Giles,0.33,2.0,MMA,2021-03-20,,10.11179,0.04674
6,6,Jesse Strader,0.47,6.2,MMA,2021-03-20,,14.40164,0.06657
