,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,0,Gustavo Lopez,0.43,2.98,MMA,2021-03-20,0.0,6.09,0.061
1,1,Song Kenan,0.31,2.76,MMA,2021-03-20,0.0,4.391,0.044
2,2,Harry Hunsucker,0.41,4.85,MMA,2021-03-20,0.0,5.807,0.058
3,3,Marion Reneau,0.19,2.9,MMA,2021-03-20,0.0,2.691,0.027
4,4,Leonardo Santos,0.19,2.72,MMA,2021-03-20,0.0,2.691,0.027
5,5,Trevin Giles,0.33,2.0,MMA,2021-03-20,1.0,4.674,0.047
6,6,Jesse Strader,0.47,6.2,MMA,2021-03-20,0.0,6.657,0.067
